timestamp,source,data
1970-01-01 08:00:00,Shimcache, 0000000b	000a000045630001	000a000045630001	8664	Microsoft.Windows.ShellExperienceHost	cw5n1h2txyewy	neutral
1970-01-01 08:00:00,Shimcache, 00000009	00020000000d0000	000a000042af0000	8664	Microsoft.MicrosoftStickyNotes	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	0002000247030000	0000000000000000	8664	Microsoft.Wallet	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	0002000247030000	000a00003fab0000	8664	Microsoft.Wallet	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	000e000063520000	000a0000273a0000	8664	Microsoft.VCLibs.140.00	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 0000000b	03e8456300010000	000a000000000000	8664	Microsoft.Windows.Apprep.ChxApp	cw5n1h2txyewy	neutral
1970-01-01 08:00:00,Shimcache, 00000009	000a070d07950000	000a000042ed0000	8664	Microsoft.WindowsSoundRecorder	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 0000000b	000a000045630001	000a000045630000	8664	Microsoft.Windows.CloudExperienceHost	cw5n1h2txyewy	neutral
1970-01-01 08:00:00,Shimcache, 00000009	000a46844ef30000	000a0000428b0000	8664	Microsoft.ZuneVideo	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	000a070d07950000	0000000000000000	8664	Microsoft.WindowsSoundRecorder	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 0000000b	000a000045630001	000a000045630001	8664	E2A4F912
1970-01-01 08:00:00,Shimcache, 0000000b	000a000045630001	000b000000000000	8664	Microsoft.Windows.CloudExperienceHost	cw5n1h2txyewy	neutral
1970-01-01 08:00:00,Shimcache, 00000009	0003002b69790000	000a00003ad70000	8664	Microsoft.Messaging	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	000407103aa40000	000a000042ef0000	8664	Microsoft.Microsoft3DViewer	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	3e8127f44e230000	000a00003f3e0000	8664	Microsoft.Office.OneNote	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	001122d617260000	0000000000000000	8664	Microsoft.MicrosoftOfficeHub	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	0011247253750000	0000000000000000	8664	microsoft.windowscommunicationsapps	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	000c002c4e210000	000a000042ee0000	8664	Microsoft.XboxIdentityProvider	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 0000000b	000a000045630001	000a000000000000	8664	Microsoft.Windows.OOBENetworkCaptivePortal	cw5n1h2txyewy	
1970-01-01 08:00:00,Shimcache, 00000009	000a46844ef30000	0000000000000000	8664	Microsoft.ZuneVideo	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 0000000b	000a000045630001	000a000038390000	8664	Microsoft.ECApp	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000000	0004000114840000	0000000000000000	8664	Microsoft.MicrosoftSolitaireCollection	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	000a46844ef30000	000a0000428b0000	8664	Microsoft.ZuneMusic	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 0000000b	03e84563015c0000	000c000000000000	8664	Microsoft.MicrosoftEdgeDevToolsClient	8wekyb3d8bbwe	neutral
1970-01-01 08:00:00,Shimcache, 00000009	001122d617260000	000a000037b10000	8664	Microsoft.MicrosoftOfficeHub	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000000	000a0000064a0000	000a000028000000	8664	Microsoft.Services.Store.Engagement	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 0000000b	000a000045630001	000a000000000000	8664	Microsoft.Windows.OOBENetworkConnectionFlow	cw5n1h2txyewy	
1970-01-01 08:00:00,Shimcache, 00000009	000a46844ef30000	0000000000000000	8664	Microsoft.ZuneMusic	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	0005070f07c70000	000a000042ee0000	8664	Microsoft.OneConnect	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000000	000e000063520000	000a0000273a0000	8664	Microsoft.VCLibs.140.00	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	000a070d05510000	000a000042ed0000	8664	Microsoft.People	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	00010020426d0000	000a00003fab0000	8664	Microsoft.XboxGameOverlay	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	0003002b69790000	0000000000000000	8664	Microsoft.Messaging	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	0001070d091b0000	000a00003fab0000	8664	Microsoft.WindowsFeedbackHub	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	07e201a900780000	000a000042ee0000	8664	Microsoft.WindowsCamera	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 0000000b	000a000045630001	000b000000000000	8664	Microsoft.Win32WebViewHost	cw5n1h2txyewy	neutral
1970-01-01 08:00:00,Shimcache, 00000009	07e2468352e20000	0000000000000000	8664	Microsoft.Windows.Photos	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 0000000b	000a000045630001	000a000000000000	8664	Microsoft.CredDialogHost	cw5n1h2txyewy	
1970-01-01 08:00:00,Shimcache, 0000000b	002c456300010000	000c000000000000	8664	Microsoft.MicrosoftEdge	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	0029002946510000	0000000000000000	8664	Microsoft.XboxApp	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 0000000b	002c456300010000	000a000045630000	8664	Microsoft.MicrosoftEdge	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 0000000b	03e8456300010000	000a000000000000	8664	Microsoft.Windows.ParentalControls	cw5n1h2txyewy	neutral
1970-01-01 08:00:00,Shimcache, 00000009	000a070d05510000	0000000000000000	8664	Microsoft.WindowsAlarms	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	0029002946510000	000a00003f810000	8664	Microsoft.XboxApp	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	000a0000064a0000	000a000028000000	8664	Microsoft.Services.Store.Engagement	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	0001070d091b0000	0000000000000000	8664	Microsoft.WindowsFeedbackHub	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	0003000005f10000	000a000042ee0000	8664	Microsoft.Print3D	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 0000000b	03e8456300010000	03e8456300010000	8664	InputApp	cw5n1h2txyewy	neutral
1970-01-01 08:00:00,Shimcache, 0000000b	000a000045630001	000a000038390000	8664	Microsoft.AsyncTextService	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	2e1d03e900080000	000a000042d20000	8664	Microsoft.StorePurchaseApp	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	0004070f2efb0000	000a000042b70000	8664	Microsoft.MSPaint	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 0000000b	03e8456300010000	000a000000000000	8664	Microsoft.Windows.PinningConfirmationDialog	cw5n1h2txyewy	
1970-01-01 08:00:00,Shimcache, 0000000b	000a000045630001	000a00003fab0000	8664	Microsoft.BioEnrollment	cw5n1h2txyewy	
1970-01-01 08:00:00,Shimcache, 00000009	2e1d03e900310000	000a000042d20000	8664	Microsoft.WindowsStore	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	000a070d04b10000	000a000042ed0000	8664	Microsoft.WindowsCalculator	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 0000000b	03e8456300010000	000a000000000000	8664	Microsoft.Windows.AssignedAccessLockApp	cw5n1h2txyewy	neutral
1970-01-01 08:00:00,Shimcache, 0000000b	000a000045630001	000a0000452b0000	8664	Microsoft.Windows.NarratorQuickStart	8wekyb3d8bbwe	neutral
1970-01-01 08:00:00,Shimcache, 00000000	000a070c00020000	000a000028000000	8664	Microsoft.Advertising.Xaml	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000000	0001000661470000	000a000027410000	8664	Microsoft.NET.Native.Runtime.1.6	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 00000009	000a070c00020000	000a000028000000	8664	Microsoft.Advertising.Xaml	8wekyb3d8bbwe	
1970-01-01 08:00:00,Shimcache, 0000000b	000a000045630001	000a000045630001	8664	F46D4000
1970-01-01 08:00:00,Shimcache, 00000009	0005070d05970000	0000000000000000	8664	Microsoft.WindowsMaps	8wekyb3d8bbwe	
2003-01-01 05:33:31,Shimcache, C:\ProgramData\chocolatey\lib\lordpe.flare\tools\LordPE.EXE
2006-04-28 01:19:56,Shimcache, C:\iDefense\MAP\mail_pot.exe
2007-03-04 12:04:51,Shimcache, C:\Program Files (x86)\HashCalc\HashCalc.exe
2007-03-04 12:04:59,Shimcache, C:\Users\IEUser\AppData\Local\ChocoCache\hashcalc\setup.exe
2008-11-04 04:49:08,Shimcache, C:\ProgramData\chocolatey\lib\peid.flare\tools\PEiD.exe
2009-08-20 23:56:42,Shimcache, C:\Program Files (x86)\FileInsight\FileInsight.exe
2009-08-21 00:03:00,Shimcache, C:\Users\IEUser\AppData\Local\ChocoCache\fileinsight.exe
2009-09-13 08:18:15,Shimcache, C:\ProgramData\chocolatey\lib\offvis.flare\tools\OffVis.exe
2009-10-21 09:02:26,Shimcache, C:\Program Files\NTCore\Explorer Suite\Tools\DriverList.exe
2010-09-15 09:02:46,Shimcache, C:\Tools\ImpRec\ImpREC 1.7e\ImportREC.exe
2010-11-19 12:08:04,Shimcache, C:\Program Files (x86)\7
2010-11-19 12:09:02,Shimcache, C:\Program Files (x86)\7
2011-04-19 15:30:10,Shimcache, c:\b3100ef57906ddeaf2e2a0a2\install.exe
2011-04-19 15:30:10,Shimcache, c:\b1b4a6487d9ed7b94c6e\install.exe
2011-04-19 19:09:15,Shimcache, c:\695fbdcd9e33e8cea141\install.exe
2011-04-19 19:09:15,Shimcache, c:\0d44ffe1b31dc1b68652a027f5c7\install.exe
2011-05-10 00:09:00,Shimcache, C:\ProgramData\chocolatey\lib\peview.flare\tools\PEview.exe
2011-06-12 15:36:34,Shimcache, c:\55cfd8fba269fc136fa8f745e57e\Setup.exe
2011-06-12 15:36:34,Shimcache, c:\e615438f6251f61982c922f2cf1c9d\Setup.exe
2012-05-10 06:01:41,Shimcache, C:\iDefense\SysAnalyzer\win_dump.exe
2012-10-21 23:32:24,Shimcache, C:\Program Files\NTCore\Explorer Suite\PE Detective.exe
2012-10-21 23:41:42,Shimcache, C:\Program Files\NTCore\Explorer Suite\Signature Explorer.exe
2012-10-21 23:44:02,Shimcache, C:\Program Files\NTCore\Explorer Suite\Task Explorer
2012-10-21 23:44:12,Shimcache, C:\Program Files\NTCore\Explorer Suite\Task Explorer.exe
2012-11-19 07:15:10,Shimcache, C:\Program Files\NTCore\Explorer Suite\CFF Explorer.exe
2013-04-18 11:48:49,Shimcache, C:\ProgramData\chocolatey\lib\dnsd.flare\tools\DNSD.exe
2013-11-13 05:05:55,Shimcache, C:\iDefense\SysAnalyzer\virustotal.exe
2014-01-09 10:37:20,Shimcache, C:\ProgramData\chocolatey\lib\exe2aut.fireeye\tools\Exe2Aut\Exe2Aut.exe
