CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2021-09-15 06:24:40.5717573,C:\Windows\prefetch\USERINIT.EXE-2257A3E7.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\USERINIT.EXE-2257A3E7.pf,3827,DF9673047EE2A915AD6F05EEB181AEBE278D7541,False,2019-07-23 18:59:40.8689756,2021-09-15 06:04:00.4178021,2021-09-15 06:04:00.4178021,00:00:00.0147982
2021-09-15 06:24:40.5877319,C:\Windows\prefetch\USEROOBEBROKER.EXE-D2992F42.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\USEROOBEBROKER.EXE-D2992F42.pf,5487,CD493EC3F208C1A049525151BEDDFEBCBAE5C0BB,False,2019-07-23 19:04:18.2065573,2019-07-23 19:04:18.2065573,2021-09-15 06:18:47.2312459,00:00:00
2021-09-15 06:24:40.6658622,C:\Windows\prefetch\USOCLIENT.EXE-5A8A3A5E.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\USOCLIENT.EXE-5A8A3A5E.pf,7807,3F3022B14027DE643DF3FD7283344F93FADEBAC9,False,2020-09-22 09:43:20.2475206,2021-09-14 10:07:00.3182002,2021-09-15 06:18:47.3099033,00:00:00
2021-09-15 06:24:40.6814288,C:\Windows\prefetch\USOCOREWORKER.EXE-21FE932A.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\USOCOREWORKER.EXE-21FE932A.pf,13022,3DF342DC7D781C780EE18A66F544A82BB7F488AB,False,2019-07-23 19:11:15.7076509,2021-09-15 06:09:17.2939957,2021-09-15 06:09:17.2939957,00:00:00
2021-09-15 06:24:40.6973060,C:\Windows\prefetch\UTILMAN.EXE-5AD4C272.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\UTILMAN.EXE-5AD4C272.pf,4641,ECA4BA70913D22CF4C4B90793C283523F14031C0,False,2019-07-23 18:56:58.6029464,2019-07-23 18:56:58.6029464,2021-09-15 06:18:47.3406793,00:00:00
2021-09-15 06:24:40.7285716,C:\Windows\prefetch\VBOXDRVINST.EXE-7DCD6070.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VBOXDRVINST.EXE-7DCD6070.pf,11350,0C152CB9D02C4267762F35C7BCDF3DE23DFB40C5,False,2019-07-24 02:19:38.6450653,2019-07-24 02:20:13.5574507,2021-09-15 06:18:47.3723574,00:00:00.0154168
2021-09-15 06:24:40.7438990,C:\Windows\prefetch\VBOXTRAY.EXE-1D286C83.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VBOXTRAY.EXE-1D286C83.pf,8040,8BCFE530581A4CA08E4C9D5DAD0A0886F280DC50,False,2019-07-23 13:09:55.3219915,2021-09-15 06:08:25.9041426,2021-09-15 06:08:25.9041426,00:00:00
2021-09-15 06:24:40.7438990,C:\Windows\prefetch\VBOXWINDOWSADDITIONS-AMD64.EX-85C5A15E.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VBOXWINDOWSADDITIONS-AMD64.EX-85C5A15E.pf,14980,8CC37A4846CE81A19CAE36C4D5AA5B64682A87B9,False,2019-07-24 02:19:15.3945571,2019-07-24 02:19:15.3945571,2021-09-15 06:18:47.4031040,00:00:00
2021-09-15 06:24:40.7627332,C:\Windows\prefetch\VBOXWINDOWSADDITIONS.EXE-EE01DD11.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VBOXWINDOWSADDITIONS.EXE-EE01DD11.pf,9320,A070BF1C64DA9B03E2F56759BA84639A30C1C038,False,2019-07-24 02:19:06.4414847,2019-07-24 02:19:06.4414847,2021-09-15 06:18:47.4348352,00:00:00
2021-09-15 06:24:40.7750030,C:\Windows\prefetch\VB_DECOMPILER_LITE.EXE-6B857ED6.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VB_DECOMPILER_LITE.EXE-6B857ED6.pf,6903,D4632EBF55B8B2ECE6897663107B69C6EAB9D524,False,2019-07-23 23:16:30.6575384,2020-09-22 10:59:30.5182537,2021-09-15 06:18:47.4348352,00:00:00
2021-09-15 06:24:40.7903707,C:\Windows\prefetch\VB_DECOMPILER_LITE.TMP-2ABC0C91.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VB_DECOMPILER_LITE.TMP-2ABC0C91.pf,20055,83C720F7E1A61BB86105456D788DF6A465A90DE2,False,2019-07-23 23:16:30.6575384,2019-07-23 23:16:30.6575384,2021-09-15 06:18:47.4660747,00:00:00
2021-09-15 06:24:40.8215637,C:\Windows\prefetch\VB_DECOMPILER_LITE.TMP-ADE1BD85.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VB_DECOMPILER_LITE.TMP-ADE1BD85.pf,18512,FBEF7F50810054A56112E94515790C6423203AB1,False,2020-09-22 10:59:30.5182537,2020-09-22 10:59:30.5182537,2021-09-15 06:18:47.4827400,00:00:00
2021-09-15 06:24:40.8372387,C:\Windows\prefetch\VCREDIST_X64.EXE-2CF1359C.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VCREDIST_X64.EXE-2CF1359C.pf,22639,02EEFB4A088E37B0A6095EEB8ACCCDE0DB6D2937,False,2019-07-23 22:06:45.6485875,2019-07-23 22:06:45.6485875,2021-09-15 06:18:47.4978088,00:00:00
