CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2021-09-27 13:46:04.3864742,C:\Windows\prefetch\010EDITORWIN64INSTALLER11.0.1-162903D3.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\010EDITORWIN64INSTALLER11.0.1-162903D3.pf,29738,8E1F43A4C6222A17BF5E76B594491916AB2868B8,False,2021-05-22 07:23:36.9587442,2021-05-22 07:23:36.9587442,2021-09-27 13:24:58.9448972,00:00:00.0154660
2021-09-27 13:46:04.4643291,C:\Windows\prefetch\7Z.EXE-6EABFA39.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\7Z.EXE-6EABFA39.pf,95928,C574E26A7D38FBAD93D927C9E5AD6BECAEA973E8,False,2021-05-22 21:29:08.0761245,2021-05-22 09:36:04.0782015,2021-09-27 13:24:58.9448972,00:00:00
2021-09-27 13:46:04.4804938,C:\Windows\prefetch\7ZG.EXE-2A7D43BC.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\7ZG.EXE-2A7D43BC.pf,8185,B7997641B648D03634B9FFBF27A781759CEAD7FF,False,2021-09-27 13:31:52.9543214,2021-09-27 13:31:52.9543214,2021-09-27 13:31:52.9543214,00:00:00.0161647
2021-09-27 13:46:04.4804938,C:\Windows\prefetch\APPLICATIONFRAMEHOST.EXE-0CF44CC4.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\APPLICATIONFRAMEHOST.EXE-0CF44CC4.pf,18509,8913AB36C6786A3BDA19BD86CF068EE206218535,False,2019-03-19 13:01:56.5402158,2021-09-27 13:31:42.7355391,2021-09-27 13:31:42.7355391,00:00:00
2021-09-27 13:46:04.4804938,C:\Windows\prefetch\AUTOHOTKEY.EXE-4004C20C.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\AUTOHOTKEY.EXE-4004C20C.pf,6451,9143E405CFA54DCC3446072B5FFDCD5ADE86820F,False,2021-05-22 09:21:41.6328849,2021-05-22 09:21:41.6328849,2021-09-27 13:24:58.9448972,00:00:00
2021-09-27 13:46:04.4957684,C:\Windows\prefetch\AUTOHOTKEY.EXE-DA3FB335.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\AUTOHOTKEY.EXE-DA3FB335.pf,8399,247D71CF04A3197BAFC2208DD29222F9349052F6,False,2021-05-22 09:21:34.9923049,2021-05-22 09:21:34.9923049,2021-09-27 13:25:03.6635121,00:00:00
2021-09-27 13:46:04.4957684,C:\Windows\prefetch\BACKGROUNDTASKHOST.EXE-4F12152B.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\BACKGROUNDTASKHOST.EXE-4F12152B.pf,19333,BB0FB66FC37C620FFBDE2A452CB0C84201E1A54B,False,2019-03-19 13:07:39.2741813,2021-09-27 13:31:43.6574227,2021-09-27 13:31:43.6574227,00:00:00
2021-09-27 13:46:04.4957684,C:\Windows\prefetch\BACKGROUNDTRANSFERHOST.EXE-1BA4B810.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\BACKGROUNDTRANSFERHOST.EXE-1BA4B810.pf,24520,4237F046C4C013CA2C6C67708A4B489E5E08B2E3,False,2019-03-19 13:06:32.8679590,2021-05-22 21:03:14.2983495,2021-09-27 13:25:03.6635121,00:00:00
2021-09-27 13:46:04.5114390,C:\Windows\prefetch\BASENAME.EXE-11213041.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\BASENAME.EXE-11213041.pf,2498,592B1B1069018BB3232847CBE95D2ACFDBA6D0BB,False,2021-05-22 09:23:10.4136035,2021-05-22 09:23:12.6481446,2021-09-27 13:25:03.6635121,00:00:00
2021-09-27 13:46:04.5114390,C:\Windows\prefetch\BASH.EXE-1A12FB73.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\BASH.EXE-1A12FB73.pf,4992,4D2929A041918E55C2ACB4C09F525DAE5CB2C0C9,False,2021-05-22 09:23:06.6633037,2021-05-22 09:23:07.1951245,2021-09-27 13:25:03.6635121,00:00:00
