CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2021-10-28 13:21:16.8448260,C:\Windows\prefetch\HXDSETUP.TMP-D0C0BF9C.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\HXDSETUP.TMP-D0C0BF9C.pf,17537,E8DD1D82E5BEDB3978B86C9A7AF4EE78F953AEF4,False,2021-05-22 07:23:02.9425550,2021-05-22 07:23:02.9425550,2021-10-28 13:02:41.3410648,00:00:00
2021-10-28 13:21:16.8602021,C:\Windows\prefetch\INSTALL-INFO.EXE-B5055AB5.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\INSTALL-INFO.EXE-B5055AB5.pf,3275,CD247A17B0EB79CF8155AC0E0D64B087102F0447,False,2021-05-22 09:23:05.3357032,2021-05-22 09:24:18.7732529,2021-10-28 13:02:41.3410648,00:00:00
2021-10-28 13:21:16.8602021,C:\Windows\prefetch\INSTALL.EXE-73EF06B8.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\INSTALL.EXE-73EF06B8.pf,7714,750118B3D80C5604966319A52998D2681819E2E8,False,2021-05-22 09:21:40.9143076,2021-05-22 09:21:40.9143076,2021-10-28 13:02:41.3410648,00:00:00
2021-10-28 13:21:16.8914489,C:\Windows\prefetch\INSTALL.EXE-ED255892.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\INSTALL.EXE-ED255892.pf,4355,CFFFEFF34C936AF0FF5F59964FB0AC76303BB9D3,False,2021-05-22 09:21:35.3987066,2021-05-22 09:21:35.3987066,2021-10-28 13:02:41.3410648,00:00:00
2021-10-28 13:21:16.9073566,C:\Windows\prefetch\IPCONFIG.EXE-62724FE6.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\IPCONFIG.EXE-62724FE6.pf,2569,9E44EB0FCFAA1B58469B3B1F34AAF2A52BD9BA0A,False,2021-10-27 02:18:28.0887274,2021-10-28 12:55:33.7808988,2021-10-28 13:02:41.3564386,00:00:00.0159077
2021-10-28 13:21:16.9542630,C:\Windows\prefetch\IS-6TIPI.TMP-E2071FB0.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\IS-6TIPI.TMP-E2071FB0.pf,11162,79F3F3B92AB1D8D785CFABD562A471DA672E9A52,False,2021-05-22 08:34:58.7544022,2021-05-22 08:34:58.7544022,2021-10-28 13:02:41.3564386,00:00:00
2021-10-28 13:21:16.9697986,C:\Windows\prefetch\JUSCHED.EXE-EBD2DB11.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\JUSCHED.EXE-EBD2DB11.pf,5744,F563494FEFE8FE883815DCFB17644C6B5835DFC4,False,2021-05-22 09:12:45.7568407,2021-10-28 13:13:45.1051038,2021-10-28 13:13:45.1051038,00:00:00
2021-10-28 13:21:16.9851972,C:\Windows\prefetch\KAPE.EXE-F8AD1B0A.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\KAPE.EXE-F8AD1B0A.pf,33617,347CF2AD04F737040089A3E122325029A645F976,False,2021-10-28 13:21:07.9698853,2021-10-28 13:21:07.9698853,2021-10-28 13:21:07.9698853,00:00:00.0153986
2021-10-28 13:21:16.9851972,C:\Windows\prefetch\LN.EXE-E8466DA7.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\LN.EXE-E8466DA7.pf,2699,4EA3EFE7E47BF1E830FCC2607AF9E3F5D37758B0,False,2021-05-22 09:23:06.7414926,2021-05-22 09:23:08.8667716,2021-10-28 13:02:41.3564386,00:00:00
2021-10-28 13:21:17.0010606,C:\Windows\prefetch\LOGONUI.EXE-1BEE4A84.pf,C:\Users\IEUser\Desktop\kape_target\C\Windows\prefetch\LOGONUI.EXE-1BEE4A84.pf,20324,9CB6B6805B8EA016402727E45406DA4A83C9A9C5,False,2019-03-19 13:00:13.3029172,2021-05-22 21:15:47.3476626,2021-10-28 13:12:20.7693337,00:00:00
